ids,kind,verb,dObj,perf,iter,sentence,
stim1,none,rompere,yes,yes,yes,Giulia aveva rotto un vaso di nuovo.,
stim2,CONTROL,rompere,yes,yes,no,Sara aveva rotto un vaso.,
stim3,none,rompere,yes,no,yes,Marta stava rompendo un vaso di nuovo.,
stim4,CONTROL,rompere,yes,no,no,Piero stava rompendo un vaso.,
stim5,EXP,rompere,no,yes,yes,Paolo aveva rotto di nuovo.,
stim6,EXP,rompere,no,yes,no,Piero aveva rotto.,
stim7,EXP,rompere,no,no,yes,Luca stava rompendo di nuovo.,
stim8,EXP,rompere,no,no,no,Paolo stava rompendo.,
stim9,none,costruire,yes,yes,yes,Paolo aveva costruito una casa di nuovo.,
stim10,CONTROL,costruire,yes,yes,no,Luca aveva costruito una casa.,
stim11,none,costruire,yes,no,yes,Marta stava costruendo una casa di nuovo.,
stim12,CONTROL,costruire,yes,no,no,Luca stava costruendo una casa.,
stim13,EXP,costruire,no,yes,yes,Gianni aveva costruito di nuovo.,
stim14,EXP,costruire,no,yes,no,Marta aveva costruito.,
stim15,EXP,costruire,no,no,yes,Franco stava costruendo di nuovo.,
stim16,EXP,costruire,no,no,no,Sara stava costruendo.,
stim17,none,spaccare,yes,yes,yes,Carla aveva spaccato un tronco di nuovo.,
stim18,CONTROL,spaccare,yes,yes,no,Carla aveva spaccato un tronco.,
stim19,none,spaccare,yes,no,yes,Maria stava spaccando un tronco di nuovo.,
stim20,CONTROL,spaccare,yes,no,no,Luca stava spaccando un tronco.,
stim21,EXP,spaccare,no,yes,yes,Marta aveva spaccato di nuovo.,
stim22,EXP,spaccare,no,yes,no,Gianni aveva spaccato.,
stim23,EXP,spaccare,no,no,yes,Gianni stava spaccando di nuovo.,
stim24,EXP,spaccare,no,no,no,Giulia stava spaccando.,
stim25,none,pulire,yes,yes,yes,Sara aveva pulito un tavolo di nuovo.,
stim26,CONTROL,pulire,yes,yes,no,Giulia aveva pulito un tavolo.,
stim27,none,pulire,yes,no,yes,Gianni stava pulendo un tavolo di nuovo.,
stim28,CONTROL,pulire,yes,no,no,Carla stava pulendo un tavolo.,
stim29,EXP,pulire,no,yes,yes,Piero aveva pulito di nuovo.,
stim30,EXP,pulire,no,yes,no,Sara aveva pulito.,
stim31,EXP,pulire,no,no,yes,Paolo stava pulendo di nuovo.,
stim32,EXP,pulire,no,no,no,Luca stava pulendo.,
stim33,none,cucinare,yes,yes,yes,Franco aveva cucinato la cena di nuovo.,
stim34,CONTROL,cucinare,yes,yes,no,Marta aveva cucinato la cena.,
stim35,none,cucinare,yes,no,yes,Giulia stava cucinando la cena di nuovo.,
stim36,CONTROL,cucinare,yes,no,no,Maria stava cucinando la cena.,
stim37,EXP,cucinare,no,yes,yes,Franco aveva cucinato di nuovo.,
stim38,EXP,cucinare,no,yes,no,Piero aveva cucinato.,
stim39,EXP,cucinare,no,no,yes,Franco stava cucinando di nuovo.,
stim40,EXP,cucinare,no,no,no,Maria stava cucinando.,
stim41,none,tagliare,yes,yes,yes,Luca aveva tagliato della carta di nuovo.,
stim42,CONTROL,tagliare,yes,yes,no,Piero aveva tagliato della carta.,
stim43,none,tagliare,yes,no,yes,Sara stava tagliando della carta di nuovo.,
stim44,CONTROL,tagliare,yes,no,no,Paolo stava tagliando della carta.,
stim45,EXP,tagliare,no,yes,yes,Piero aveva tagliato di nuovo.,
stim46,EXP,tagliare,no,yes,no,Luca aveva tagliato.,
stim47,EXP,tagliare,no,no,yes,Maria stava tagliando di nuovo.,
stim48,EXP,tagliare,no,no,no,Marta stava tagliando.,
stim49,none,bere,yes,yes,yes,Carla aveva bevuto del succo di nuovo.,
stim50,CONTROL,bere,yes,yes,no,Maria aveva bevuto del succo.,
stim51,none,bere,yes,no,yes,Paolo stava bevendo del succo di nuovo.,
